VERB,count
lajs,79
izciest,79
pienākīties,78
apkampt,78
padarrijušāt,78
beigta,78
vērt,78
ierādīt,78
panēmušāt,77
palīdzibu,77
saderrēt,77
atraut,77
uam,77
skubināt,77
gult,77
apsegt,77
kāst,77
mēgt,76
izrādīties,76
sakāmušāt,76
gattams,76
uzkrist,75
atpakalt,75
apmesties,75
eijāt,75
stāt,75
izlikties,74
medot,74
izkāpt,74
raut,74
izdarboties,73
parliekēt,73
parliekāt,73
sālīt,73
atvēlēt,73
apnēmāt,73
aprakstīt,73
piederrot,72
kust,72
izskriet,72
ierauga,72
satriekt,72
izsaukties,72
sasniegt,72
jautāt,71
-essāt,71
appmāt,71
parādīties,71
vīt,70
sasaukt,70
pieklāties,70
sust,70
iepasīties,70
skattija,70
izcirst,70
pūt,69
ķerties,69
sapulcejušāties,69
mierigāt,69
tumoties,68
iemācīt,68
atlīdzināt,68
just,68
doda,68
paskubināt,68
apkaut,68
apšēloties,68
pārņemt,68
iznīkt,68
domajāt,68
uzsakamēties,67
pestīt,67
sniegs,67
plosīties,67
izstiept,67
piederrigīt,67
iejaukties,67
sarkauēties,67
spiesties,67
paļauties,66
uzbūmēt,66
iespert,66
ieņemt,66
iemaksāt,66
nošēlot,66
apsēsties,66
šas,65
piederrigēties,65
apsolīt,65
padodāt,65
pademušāties,65
pieskriet,65
izcelt,65
kurnēt,65
papilēt,65
plēst,65
aizgrābt,65
nolaist,64
dusmoties,64
spert,64
rast,64
salassīt,64
izeijot,64
brīnīties,63
pilēt,63
klust,63
apsmeicināt,63
sarunaties,63
pataisīt,62
skattijs,62
saiet,62
patiesibas,62
turrot,62
cept,62
ticcāt,62
nokrist,62
sabīties,62
pierakstīt,62
darrišot,62
pīt,61
sanīkt,61
mēt,61
nomaitāt,61
kliegt,61
malties,61
noķert,61
uzņemties,61
pakalt,60
iemaksatāt,60
nodzīt,60
atpirkt,60
mairot,60
gruntēt,60
atstāties,60
-essēt,60
siunāt,60
varetāt,60
noplēst,60
ieraudzīt,60
līdzēt,60
driķēt,60
ja-āt,60
runajot,60
pie-iet,60
šķist,60
piešķirt,60
ciets,59
nākties,59
pademāties,59
jūgt,59
pabrīķi,59
salīgt,59
ieraudzijis,59
nosalt,59
kustēt,58
apņemt,58
uebūt,58
apbrīnot,58
uzrādīt,58
tīt,58
ielīst,58
varejāt,58
nopūsties,58
pārbīties,58
pielipt,58
paslēpt,57
aiznest,57
sadzīt,57
atminēt,57
izlīdzināt,57
baidīties,57
sadedzināt,57
atraidīt,56
pārdobt,56
spēlēt,56
noteikt,56
sataisīties,56
vilt,56
atradisāt,56
apskattīt,56
uzcelties,55
strāpēt,55
iedzīt,55
parādijāt,55
aizkamēt,55
apmierināt,55
sakraut,55
atdabūt,55
sarunatāties,55
dzirdejs,55
saukties,55
iekāpt,55
nopostīt,54
apmettāt,54
palīdzetāt,54
ilgs,54
atspirgt,54
raidīt,54
pamasēt,54
sūdzēt,54
smeicināt,54
teikties,54
apgrēkoties,54
riebt,54
jaust,53
aprast,53
pamācīt,53
jaukties,53
apsūdzēt,53
pūlejies,53
godāt,53
šūt,53
apģērbties,52
saplēst,52
izpirkt,52
nosprāgt,52
uzkraut,52
pieminedēt,52
piekrāpt,52
essot,52
izsalkt,52
sabraukt,52
sarunajāt,52
strādajot,52
apsolīties,52
stādīt,52
biedroties,52
nodurt,52
nokāmušāt,52
iedrošinajāt,52
aizlaist,52
smaidīt,52
izsēt,52
nabadzināt,51
patti,51
izceļāt,51
pamalstnieki,51
laupīt,51
trāpīt,51
atkalt,51
iestāt,51
apsmiet,51
marrešāt,51
turrejies,51
atriebties,51
pārciest,51
appīt,51
pasludināt,51
mākties,50
punktēt,50
saldatēt,50
apsolijāt,50
nešēligi,50
slamēt,50
salassāt,50
pamest,50
siuuāt,50
pieturrāt,50
laimigāt,50
attaisīt,50
nogriest,49
uzmanigāt,49
rūpejs,49
apģērbt,49
uzrakstīt,49
spaidīt,49
nolaisties,49
aprēķināt,49
gailēt,49
izrādijāties,49
samīt,49
dīgt,49
pieteikt,49
