NOUN,count
siemišķs,246
caurums,246
seķs,246
cepure,246
Odesa,245
glābšana,245
fabrika,245
ganiba,243
grāmatu-bode,243
stancija,243
stāstija,243
eseris,242
bumba,242
prasija,241
pagrabs,241
kapps,241
iekšceme,241
valdibs,241
kule,241
Zkrunda,241
ziema,240
ala,240
platšs,240
redzejs,239
bubts,239
sinode,239
Enģlante,239
mārdi,239
gaišums,238
malods,238
mantibs,238
nags,238
ģenerālgubernators,238
sirsnigs,237
deķis,237
aka,237
Visss,236
biļete,236
paldievs,236
dimants,236
dims,236
mūsejs,236
miršana,236
Liepajs,236
braks,235
sals,234
dzis,234
augšs,234
kalējs,234
galmasnauda,234
stāds,234
pamalstnieks,233
malstiba,233
ticibs,233
kase,232
Zmiedrs,232
pretinieks,232
ēna,232
priekšsīme,232
emanģeliums,231
turreja,230
materiāls,230
sobs,230
tēja,230
Osolmuiža,229
meldiņš,229
osiciers,229
redakcija,229
students,228
daša,228
makara,228
trešs,227
sars,227
kurss,227
mainigs,227
dārsnieks,226
nedarbs,226
jadoma,226
karamīrs,226
Nīga,226
kuģinieks,226
pusgads,226
bars,225
rads,225
tumaks,225
cere,224
bariba,224
Vareta,224
Kandama,224
Amise,223
lopiņš,223
miests,222
dzīvošana,222
kāss,222
dalibs,222
pagasta-malde,222
aste,221
laipnigs,221
blēšs,220
messels,220
minests,220
lasišana,220
lutters,219
pilsēt,218
leija,218
krekls,218
zemite,218
kausmaņs,218
dzimtene,218
tanis,218
gribets,217
gomis,217
Donama,217
sacijis,215
adoptierešana,215
banka,215
stūris,215
darrišana,215
garra,215
klints,214
kopejs,214
augs,214
dzeršana,214
iztabēties,214
rakstnieks,214
nolūks,214
sēdešana,213
ass,213
pagasta-tiesēties,213
mācits,213
mēcums,213
mokas,213
reizs,212
lampa,212
dima,212
tīrums,212
Zeptbr,211
sirsnigi,211
Māciešs,211
pakaļa,211
Mācija,210
nesinaja,210
sabriķs,210
stundiņa,210
derrigs,209
ikkatris,209
tēvs,209
cilts,208
joks,208
atsīšana,207
paliccis,207
